+---------+--------------------------------------+----------------------+---------+
| idx % 2 |                vapor                 |         nick         | n_games |
| 1       | 3210c177-330c-4872-bebf-eeef1f026c35 | madmat395            |         |
| 0       | 32e5ccda-f89a-43de-8a46-c063df971e61 | kordian.bober209     |         |
| 1       | 33c86a8a-9e6c-4a76-ba99-1f5027435b69 | ihalilgormus427      |         |
| 0       | 3429747c-a3c1-4680-a42f-8789689cea63 | Bruno_Pompei         |         |
| 1       | 3468715b-5731-4e4b-b528-51c4248a1fd4 | skaterfrog73372      |         |
| 0       | 34b315d9-54a6-4505-92c0-723318029639 | -=TSC=- Black-Talon  |         |
| 1       | 34ed6434-4236-4ba4-bf6b-9cf9f52921d7 | NReady               |         |
| 0       | 35117135-a8fb-434e-95e8-3a9af23ef0f0 | noahmankoff919       |         |
| 1       | 356291a2-dab4-466d-addc-6d09023084fb | Leadfoot             |         |
| 0       | 357fd541-1af2-4605-a329-8027509ebef9 | TheNightMare756      |         |
| 1       | 35a4a19a-67f0-4aaa-b600-b7d19e688c13 | Aeromech690          |         |
| 0       | 35dc6df1-125b-40a6-966d-586e468d3045 | Troche wiekszy 464   |         |
| 1       | 35ddbbd8-1862-4f07-bf70-61b63f2e4b60 | Zidby667             |         |
| 0       | 367c2556-2483-490b-8504-b936092d6be9 | Der Bozz82           |         |
| 1       | 3711fe57-4c9e-4c5b-aaff-700ce352bace | bishnukumara201415   |         |
| 0       | 3739547f-5da4-4ff8-be9a-d69e80892616 | Crash Octopus        | 1       |
| 0       | 3739547f-5da4-4ff8-be9a-d69e80892616 | Moira                | 1       |
| 1       | 37ad3edc-e583-4db8-bb5a-a3b95d99fcae | [SR]HeLLBirD         |         |
| 0       | 37b1161c-f65d-403d-99f4-76e8b15b94eb | ZigaZaga32           |         |
| 1       | 3886313c-fa92-402f-96d0-73560fd35744 | knnon                |         |
| 0       | 38892ce6-5efa-4faf-ae1a-dbbf8620a85c | Kitty Pata Mans401   |         |
| 1       | 3945503d-44c2-4d51-9947-a70d347f7a9a | Bhvsplay655          |         |
| 0       | 3948486c-8b84-4a09-a356-43570de15908 | tison.matthias782    |         |
| 1       | 3960354d-3082-45fd-bf91-1f108f961936 | chelsea              | 23      |
| 1       | 3960354d-3082-45fd-bf91-1f108f961936 | eu jogo isso         | 23      |
| 1       | 3960354d-3082-45fd-bf91-1f108f961936 | nanon's              | 23      |
| 0       | 398a29a0-9681-4298-9988-755926494717 | altistats.com 2      |         |
| 1       | 3a5b7593-1a82-4130-b246-918cdde6ee24 | Chucky77             |         |
| 0       | 3aa1ce63-02f5-4f05-bc8b-5041e7081af2 | LORD_SJ9698          |         |
| 1       | 3afc890a-398f-4834-9a83-8b6b98fe6c74 | I am Legion567       |         |
| 0       | 3b2027db-0f8d-4d26-9a4b-b22ad9f9bda3 | {*} RUSTY onlytoes   | 323     |
| 0       | 3b2027db-0f8d-4d26-9a4b-b22ad9f9bda3 | {*} RUSTY-NO-RUBBER  | 323     |
| 1       | 3bb63c70-cd4a-48c3-8a2e-126e9c12520c | Iogitude             | 9       |
| 1       | 3bb63c70-cd4a-48c3-8a2e-126e9c12520c | UncleBuck            | 9       |
| 1       | 3bb63c70-cd4a-48c3-8a2e-126e9c12520c | where                | 9       |
| 0       | 3cd5e2c3-b078-4de2-b102-98aa135f0048 | 3..2..1.. phlexxo!   | 170     |
| 0       | 3cd5e2c3-b078-4de2-b102-98aa135f0048 | Don Phlexotte        | 170     |
| 0       | 3cd5e2c3-b078-4de2-b102-98aa135f0048 | Phlex Bond           | 170     |
| 0       | 3cd5e2c3-b078-4de2-b102-98aa135f0048 | Phlexbeard           | 170     |
| 0       | 3cd5e2c3-b078-4de2-b102-98aa135f0048 | Phlextasy            | 170     |
| 0       | 3cd5e2c3-b078-4de2-b102-98aa135f0048 | Phlexzilla           | 170     |
| 0       | 3cd5e2c3-b078-4de2-b102-98aa135f0048 | phlexbomb            | 170     |
| 0       | 3cd5e2c3-b078-4de2-b102-98aa135f0048 | phlexxotomy          | 170     |
| 0       | 3cd5e2c3-b078-4de2-b102-98aa135f0048 | the last of phlexxo  | 170     |
| 1       | 3cde329f-39bd-4287-ab20-8de67172d8d0 | soneji               | 7       |
| 0       | 3cec2ab1-6191-496b-8707-c2a2b0e4da9a | sHL                  | 3       |
| 0       | 3cec2ab1-6191-496b-8707-c2a2b0e4da9a | {CF}sHL              | 3       |
| 1       | 3cf0f231-8279-40c2-932d-793ca256bb7f | MUHBT                |         |
| 1       | 3cf0f231-8279-40c2-932d-793ca256bb7f | rgustheavenfail      |         |
| 1       | 3cf0f231-8279-40c2-932d-793ca256bb7f | rgustheavenfail501   |         |
| 0       | 3db48d3a-b8cb-4aec-a4c5-33448719b01f | Sup20                |         |
| 1       | 3dedaac4-8fb0-4ce7-a2c5-e6bbd41a13dd | Rampage010683        |         |
| 0       | 3e105d48-4fc0-40ca-9393-362bda7186b5 | !spirals             | 398     |
| 0       | 3e105d48-4fc0-40ca-9393-362bda7186b5 | bootless             | 398     |
| 0       | 3e105d48-4fc0-40ca-9393-362bda7186b5 | bootless doggerel    | 398     |
| 1       | 3e4489e2-9969-42a4-81f6-4046763c99d7 | BOT 101              |         |
| 0       | 3e55f37d-5a6c-4452-9520-dc0439be77ed | SwizzleSticks        | 1       |
| 1       | 3ef1fa4e-5d04-4347-9025-8ff2fa502a65 | .EPIC_ [E] {AK} Bran | 108     |
| 0       | 3f480e70-f8f2-41af-a900-ed06501f7498 | Tankedebirra         |         |
| 1       | 40f4eec2-5605-4d7f-bb38-e369f961669d | mikecam01313         |         |
| 0       | 4138be2d-fed0-406a-8e1d-4bc9a91373c7 | karellaurens         |         |
| 1       | 4157d49b-a235-4cec-82cb-a03816064f4b | Nikon                | 31      |
| 0       | 415ae8ef-7f78-44aa-8a09-266ebe97732e | Zaki                 |         |
| 1       | 41a06f03-3414-4628-8cf7-c0dc6813ba90 | The Ocean60          |         |
| 0       | 41b33b58-0da6-41ec-b7d6-35863fb13650 | a05543710560         |         |
| 1       | 4223d0af-b4f2-4d9b-b54f-0d0b429df97f | King.Ray92           |         |
| 0       | 42ae9c5a-3bed-42df-b519-34149c32a256 | (RageQuit)Tainted    |         |
| 1       | 42cf1a7d-d33c-422b-937d-cf55c223cfe1 | Citryn               | 289     |
| 1       | 42cf1a7d-d33c-422b-937d-cf55c223cfe1 | Elyminate            | 289     |
| 1       | 42cf1a7d-d33c-422b-937d-cf55c223cfe1 | Lameyn               | 289     |
| 1       | 42cf1a7d-d33c-422b-937d-cf55c223cfe1 | Lemyn                | 289     |
| 1       | 42cf1a7d-d33c-422b-937d-cf55c223cfe1 | [E]Lemynate          | 289     |
| 1       | 42cf1a7d-d33c-422b-937d-cf55c223cfe1 | eLemynate            | 289     |
| 0       | 431a651d-6aeb-427c-bddb-8c5554e20494 | Blue Dot Gaming164   |         |
| 1       | 43509ebf-5d3c-435e-945c-1f1673d68ec4 | mommymia866          |         |
| 0       | 43a0c1bb-6e91-4c48-a406-b2b5e4760344 | mEaSuRE              | 915     |
| 1       | 447bafe1-efeb-4fa4-b158-a4e7aabab7e3 | nitramp27542         |         |
| 0       | 44b0e408-5b7d-4ade-be42-6dd5f15b9f13 | Borat Sagdiyev       |         |
| 1       | 44dc2138-8d36-4577-8817-90bcc9b423d5 | drmit.0              |         |
| 0       | 44e8624c-ed72-474c-a0ff-68f003cb5e49 | Dm0mPredator66       |         |
| 1       | 454bc7fd-696e-40a8-9258-a80217d8b11f | Alisson_192353       |         |
| 0       | 458147b9-4d13-44be-99b8-b1d8fc991b3d | |PewPew| Unknown     |         |
| 1       | 4649163b-9fe5-4dbb-9e9f-9fcbecf67ab4 | wasikbillah0739      |         |
| 0       | 471a7ef8-aff2-4bcb-a53a-3793a8f4bc43 | winteriscool841      |         |
| 1       | 473b13f0-8e33-4627-aaef-51b647d71c21 | conmigonosej185      |         |
| 0       | 47e94509-99b9-44b6-aee6-6c1e4fa7ffcf | Aero550              |         |
| 1       | 48052259-c82b-4383-ab1f-12ee7e9f1831 | ZALGO                |         |
| 0       | 4815dd5f-bb3d-4d98-846d-49c8dbdd797b | ??Veni, Vidi, V653   |         |
